Nom;Pob
  01001-Alegria-Dulantzi ;2882
  01002-Amurrio ;10263
  01049-Anana ;157
  01003-Aramaio ;1518
  01006-Arminon ;244
  01037-Arraia-Maeztu ;712
  01008-Arratzua-Ubarrundia ;997
  01004-Artziniega ;1829
  01009-Asparrena ;1647
  01010-Ayala/Aiara ;2927
  01011-Banos de Ebro/Manueta ;311
  01013-Barrundia ;905
  01014-Berantevilla ;467
  01016-Bernedo ;526
  01017-Campezo/Kanpezu ;1069
  01021-Elburgo/Burgelu ;608
  01022-Elciego ;1051
  01023-Elvillar/Bilar ;353
  01046-Erriberagoitia/Ribera Alta ;773
  01056-Harana/Valle de Arana ;242
  01901-Iruna Oka/Iruna de Oca ;3172
  01027-Iruraiz-Gauna ;509
  01019-Kripan ;182
  01020-Kuartango ;362
  01028-Labastida/Bastida ;1471
  01030-Lagran ;163
  01031-Laguardia ;1520
  01032-Lanciego/Lantziego ;679
  01902-Lantaron ;893
  01033-Lapuebla de Labarca ;860
  01036-Laudio/Llodio ;18300
  01058-Legutio ;1716
  01034-Leza ;216
  01039-Moreda de alava/Moreda Araba ;233
  01041-Navaridas ;231
  01042-Okondo ;1156
  01043-Oyon-Oion ;3320
  01044-Penacerrada-Urizaharra ;270
  01047-Ribera Baja/Erribera Beitia ;1359
  01051-Salvatierra/Agurain ;4986
  01052-Samaniego ;294
  01053-San Millan/Donemiliaga ;722
  01054-Urkabustaiz ;1300
  01055-Valdegovia/Gaubea ;1013
  01057-Villabuena de alava/Eskuernaga ;306
  01059-Vitoria-Gasteiz ;243918
  01060-Yecora/Iekora ;266
  01061-Zalduondo ;196
  01062-Zambrana ;406
  01018-Zigoitia ;1765
  01063-Zuia ;2383
  02001-Abengibre ;782
  02002-Alatoz ;610
  02003-Albacete ;172121
  02004-Albatana ;744
  02005-Alborea ;754
  02006-Alcadozo ;699
  02007-Alcala del Jucar ;1250
  02008-Alcaraz ;1529
  02009-Almansa ;24837
  02010-Alpera ;2326
  02011-Ayna ;717
  02012-Balazote ;2378
  02014-Ballestero, El ;442
  02013-Balsa de Ves ;172
  02015-Barrax ;1915
  02016-Bienservida ;664
  02017-Bogarra ;947
  02018-Bonete ;1127
  02019-Bonillo, El ;2915
  02020-Carcelen ;546
  02021-Casas de Juan Nunez ;1382
  02022-Casas de Lazaro ;403
  02023-Casas de Ves ;666
  02024-Casas-Ibanez ;4658
  02025-Caudete ;10163
  02026-Cenizate ;1174
  02029-Chinchilla de Monte-Aragon ;4169
  02027-Corral-Rubio ;358
  02028-Cotillas ;141
  02030-Elche de la Sierra ;3761
  02031-Ferez ;705
  02032-Fuensanta ;327
  02033-Fuente-alamo ;2591
  02034-Fuentealbilla ;1901
  02035-Gineta, La ;2532
  02036-Golosalvo ;114
  02037-Hellin ;30592
  02038-Herrera, La ;347
  02039-Higueruela ;1249
  02040-Hoya-Gonzalo ;706
  02041-Jorquera ;400
  02042-Letur ;987
  02043-Lezuza ;1483
  02044-Lietor ;1321
  02045-Madrigueras ;4724
  02046-Mahora ;1422
  02047-Masegoso ;121
  02048-Minaya ;1564
  02049-Molinicos ;917
  02050-Montalvos ;108
  02051-Montealegre del Castillo ;2122
  02052-Motilleja ;555
  02053-Munera ;3643
  02054-Navas de Jorquera ;524
  02055-Nerpio ;1362
  02056-Ontur ;2141
  02057-Ossa de Montiel ;2510
  02058-Paterna del Madera ;378
  02060-Penas de San Pedro ;1431
  02059-Penascosa ;355
  02061-Petrola ;737
  02062-Povedilla ;471
  02901-Pozo Canada ;2811
  02063-Pozohondo ;1717
  02064-Pozo-Lorente ;415
  02065-Pozuelo ;542
  02066-Recueja, La ;275
  02067-Riopar ;1448
  02068-Robledo ;405
  02069-Roda, La ;15868
  02070-Salobre ;554
  02071-San Pedro ;1316
  02072-Socovos ;1832
  02073-Tarazona de la Mancha ;6543
  02074-Tobarra ;7973
  02075-Valdeganga ;1991
  02076-Vianos ;376
  02077-Villa de Ves ;59
  02078-Villalgordo del Jucar ;1147
  02079-Villamalea ;4106
  02080-Villapalacios ;628
  02081-Villarrobledo ;25989
  02082-Villatoya ;115
  02083-Villavaliente ;238
  02084-Villaverde de Guadalimar ;373
  02085-Viveros ;300
  02086-Yeste ;2869
  03001-Adsubia ;632
  03002-Agost ;4707
  03003-Agres ;574
  03004-Aigues ;937
  03005-Albatera ;11780
  03006-Alcalali ;1311
  03007-Alcocer de Planes ;216
  03008-Alcoleja ;184
  03009-Alcoy/Alcoi ;59567
  03010-Alfafara ;406
  03011-Alfas del Pi, l' ;21700
  03012-Algorfa ;3693
  03013-Alguena ;1413
  03014-Alicante/Alacant ;328648
  03015-Almoradi ;19955
  03016-Almudaina ;114
  03017-Alqueria d'Asnar, l' ;522
  03018-Altea ;22385
  03019-Aspe ;20406
  03020-Balones ;133
  03021-Banyeres de Mariola ;7155
  03022-Benasau ;155
  03023-Beneixama ;1746
  03024-Benejuzar ;5398
  03025-Benferri ;1899
  03026-Beniarbeig ;1926
  03027-Beniarda ;227
  03028-Beniarres ;1208
  03030-Benidoleig ;1196
  03031-Benidorm ;69045
  03032-Benifallim ;114
  03033-Benifato ;156
  03029-Benigembla ;490
  03034-Benijofar ;3655
  03035-Benilloba ;786
  03036-Benillup ;101
