"CodMun";"Municipio";"Pob";"Poblog"
1001;"Alegria-Dulantzi ";2882;7,96623977655947
1002;"Amurrio ";10263;9,23630047364571
1049;"Anana ";157;5,05624580534831
1003;"Aramaio ";1518;7,32514895795557
1006;"Arminon ";244;5,4971682252932
1037;"Arraia-Maeztu ";712;6,56807791141198
1008;"Arratzua-Ubarrundia ";997;6,90475076996184
1004;"Artziniega ";1829;7,51152464839087
1009;"Asparrena ";1647;7,40671073017764
1010;"Ayala/Aiara ";2927;7,98173328669189
1011;"Banos de Ebro/Manueta ";311;5,73979291217923
1013;"Barrundia ";905;6,80793494369993
1014;"Berantevilla ";467;6,1463292576689
1016;"Bernedo ";526;6,26530121273771
1017;"Campezo/Kanpezu ";1069;6,97447891102505
1021;"Elburgo/Burgelu ";608;6,41017488196617
1022;"Elciego ";1051;6,95749737087695
1023;"Elvillar/Bilar ";353;5,8664680569333
1046;"Erriberagoitia/Ribera Alta ";773;6,65027904858742
1056;"Harana/Valle de Arana ";242;5,48893772615669
1901;"Iruna Oka/Iruna de Oca ";3172;8,06211758275474
1027;"Iruraiz-Gauna ";509;6,23244801655052
1019;"Kripan ";182;5,2040066870768
1020;"Kuartango ";362;5,89164421182577
1028;"Labastida/Bastida ";1471;7,29369772060144
1030;"Lagran ";163;5,09375020080676
1031;"Laguardia ";1520;7,32646561384032
1032;"Lanciego/Lantziego ";679;6,5206211275587
1902;"Lantaron ";893;6,7945865808765
1033;"Lapuebla de Labarca ";860;6,75693238924755
1036;"Laudio/Llodio ";18300;9,81465633882951
1058;"Legutio ";1716;7,44775128004791
1034;"Leza ";216;5,37527840768417
1039;"Moreda de alava/Moreda Araba ";233;5,4510384535657
1041;"Navaridas ";231;5,44241771052179
1042;"Okondo ";1156;7,05272104923232
1043;"Oyon-Oion ";3320;8,10772006191053
1044;"Penacerrada-Urizaharra ";270;5,59842195899838
1047;"Ribera Baja/Erribera Beitia ";1359;7,21450441415114
1051;"Salvatierra/Agurain ";4986;8,5143892640835
1052;"Samaniego ";294;5,68357976733868
1053;"San Millan/Donemiliaga ";722;6,58202513889283
1054;"Urkabustaiz ";1300;7,17011954344963
1055;"Valdegovia/Gaubea ";1013;6,92067150424868
1057;"Villabuena de alava/Eskuernaga ";306;5,72358510195238
1059;"Vitoria-Gasteiz ";243918;12,4045873822189
1060;"Yecora/Iekora ";266;5,5834963087817
1061;"Zalduondo ";196;5,27811465923052
1062;"Zambrana ";406;6,00635315960173
1018;"Zigoitia ";1765;7,4759059693674
1063;"Zuia ";2383;7,77611547709874
2001;"Abengibre ";782;6,66185474054531
2002;"Alatoz ";610;6,41345895716736
2003;"Albacete ";172121;12,0559529968357
2004;"Albatana ";744;6,61204103483309
2005;"Alborea ";754;6,62539236800796
2006;"Alcadozo ";699;6,54965074223381
2007;"Alcala del Jucar ";1250;7,13089883029635
2008;"Alcaraz ";1529;7,33236920592906
2009;"Almansa ";24837;10,1200897558069
2010;"Alpera ";2326;7,75190533307861
2011;"Ayna ";717;6,57507584059962
2012;"Balazote ";2378;7,77401507725073
2014;"Ballestero, El ";442;6,0913098820777
2013;"Balsa de Ves ";172;5,14749447681345
2015;"Barrax ";1915;7,55747290161475
2016;"Bienservida ";664;6,49828214947643
2017;"Bogarra ";947;6,85329909318608
2018;"Bonete ";1127;7,02731451403978
2019;"Bonillo, El ";2915;7,97762509878459
2020;"Carcelen ";546;6,30261897574491
2021;"Casas de Juan Nunez ";1382;7,23128700432762
2022;"Casas de Lazaro ";403;5,99893656194668
2023;"Casas de Ves ";666;6,50128967054039
2024;"Casas-Ibanez ";4658;8,44634145044429
2025;"Caudete ";10163;9,22650895313777
2026;"Cenizate ";1174;7,06817200038804
2029;"Chinchilla de Monte-Aragon ";4169;8,3354314778808
2027;"Corral-Rubio ";358;5,8805329864007
2028;"Cotillas ";141;4,94875989037817
2030;"Elche de la Sierra ";3761;8,23244015847034
2031;"Ferez ";705;6,55819780281227
2032;"Fuensanta ";327;5,78996017089725
2033;"Fuente-alamo ";2591;7,85979918056211
2034;"Fuentealbilla ";1901;7,55013534248843
2035;"Gineta, La ";2532;7,83676478326407
2036;"Golosalvo ";114;4,7361984483945
2037;"Hellin ";30592;10,3284938158511
2038;"Herrera, La ";347;5,84932477994686
2039;"Higueruela ";1249;7,13009851012558
2040;"Hoya-Gonzalo ";706;6,55961523749324
2041;"Jorquera ";400;5,99146454710798
2042;"Letur ";987;6,89467003943348
2043;"Lezuza ";1483;7,30182234213793
2044;"Lietor ";1321;7,18614430452233
2045;"Madrigueras ";4724;8,46041117731725
2046;"Mahora ";1422;7,25981961036319
2047;"Masegoso ";121;4,79579054559674
2048;"Minaya ";1564;7,35500192110526
2049;"Molinicos ";917;6,82110747225646
2050;"Montalvos ";108;4,68213122712422
2051;"Montealegre del Castillo ";2122;7,66011431917393
2052;"Motilleja ";555;6,31896811374643
2053;"Munera ";3643;8,20056279700856
2054;"Navas de Jorquera ";524;6,26149168432104
2055;"Nerpio ";1362;7,21670948670946
2056;"Ontur ";2141;7,66902828858968
2057;"Ossa de Montiel ";2510;7,82803803212583
2058;"Paterna del Madera ";378;5,93489419561959
2060;"Penas de San Pedro ";1431;7,26612877955645
2059;"Penascosa ";355;5,87211778947542
2061;"Petrola ";737;6,60258789218934
2062;"Povedilla ";471;6,15485809401642
2901;"Pozo Canada ";2811;7,94129557090653
2063;"Pozohondo ";1717;7,44833386089748
2064;"Pozo-Lorente ";415;6,0282785202307
2065;"Pozuelo ";542;6,29526600143965
2066;"Recueja, La ";275;5,61677109766657
2067;"Riopar ";1448;7,27793857294566
2068;"Robledo ";405;6,00388706710654
2069;"Roda, La ";15868;9,67205978163422
2070;"Salobre ";554;6,31716468674728
2071;"San Pedro ";1316;7,18235211188526
2072;"Socovos ";1832;7,51316354523408
2073;"Tarazona de la Mancha ";6543;8,78615105486974
2074;"Tobarra ";7973;8,9838161125025
2075;"Valdeganga ";1991;7,5963923040642
2076;"Vianos ";376;5,92958914338989
2077;"Villa de Ves ";59;4,07753744390572
2078;"Villalgordo del Jucar ";1147;7,04490511712937
2079;"Villamalea ";4106;8,32020459757888
2080;"Villapalacios ";628;6,4425401664682
2081;"Villarrobledo ";25989;10,1654286505582
2082;"Villatoya ";115;4,74493212836325
2083;"Villavaliente ";238;5,47227067367148
2084;"Villaverde de Guadalimar ";373;5,92157841964382
2085;"Viveros ";300;5,7037824746562
2086;"Yeste ";2869;7,96171881598136
3001;"Adsubia ";632;6,44888939414686
3002;"Agost ";4707;8,45680604140114
3003;"Agres ";574;6,35262939631957
3004;"Aigues ";937;6,84268328223842
3005;"Albatera ";11780;9,37415845720558
3006;"Alcalali ";1311;7,1785454837637
3007;"Alcocer de Planes ";216;5,37527840768417
3008;"Alcoleja ";184;5,21493575760899
3009;"Alcoy/Alcoi ";59567;10,9948570084347
3010;"Alfafara ";406;6,00635315960173
3011;"Alfas del Pi, l' ";21700;9,98506753952855
3012;"Algorfa ";3693;8,21419441485256
3013;"Alguena ";1413;7,25347038268453
3014;"Alicante/Alacant ";328648;12,7027425481719
3015;"Almoradi ";19955;9,90123501748283
3016;"Almudaina ";114;4,7361984483945
3017;"Alqueria d'Asnar, l' ";522;6,25766758788264
3018;"Altea ";22385;10,0161463706751
3019;"Aspe ";20406;9,92358425423525
3020;"Balones ";133;4,89034912822175
3021;"Banyeres de Mariola ";7155;8,87556669199055
3022;"Benasau ";155;5,04342511691925
3023;"Beneixama ";1746;7,46508273639955
3024;"Benejuzar ";5398;8,59378379357795
3025;"Benferri ";1899;7,54908271081229
3026;"Beniarbeig ";1926;7,56320059235807
3027;"Beniarda ";227;5,4249500174814
3028;"Beniarres ";1208;7,09672137849476
3030;"Benidoleig ";1196;7,08673793451058
3031;"Benidorm ";69045;11,1425137449195
3032;"Benifallim ";114;4,7361984483945
3033;"Benifato ";156;5,04985600724954
3029;"Benigembla ";490;6,19440539110467
3034;"Benijofar ";3655;8,20385137218388
3035;"Benilloba ";786;6,66695679242921
3036;"Benillup ";101;4,61512051684126
3037;"Benimantell ";501;6,21660610108486
3038;"Benimarfull ";433;6,07073772800249
3039;"Benimassot ";111;4,70953020131233
3040;"Benimeli ";416;6,03068526026126
3041;"Benissa ";11598;9,35858794843639
3042;"Benitachell/Poble Nou de Benitatxell, el ";4690;8,45318786144033
3043;"Biar ";3657;8,20439841814938
3044;"Bigastro ";6714;8,81195017753998
3045;"Bolulla ";426;6,05443934626937
3046;"Busot ";3075;8,03106018024062
3049;"Callosa de Segura ";18200;9,80917687306489
3048;"Callosa d'en Sarria ";7133;8,87248718227804
3047;"Calp ";21540;9,97766695071038
3050;"Campello, el ";27356;10,216691162218
3051;"Campo de Mirra/Camp de Mirra, el ";445;6,09807428216624
3052;"Canada ";1229;7,11395610956603
3053;"Castalla ";9994;9,20974019190415
3054;"Castell de Castells ";431;6,06610809010375
3075;"Castell de Guadalest, el ";224;5,41164605185504
3055;"Catral ";8690;9,06992821825944
3056;"Cocentaina ";11406;9,34189481171648
3057;"Confrides ";208;5,33753807970132
3058;"Cox ";7229;8,8858559930003
3059;"Crevillent ";28465;10,2564305413852
3061;"Daya Nueva ";1732;7,45703208912238
3062;"Daya Vieja ";668;6,50428817353665
3063;"Denia ";41553;10,6347249998432
3064;"Dolores ";7246;8,88820487145502
3065;"Elche/Elx ";227312;12,3340788021119
3066;"Elda ";53248;10,8827155241809
3067;"Facheca ";103;4,63472898822964
3068;"Famorca ";52;3,95124371858143
3069;"Finestrat ";6239;8,73857519211079
3077;"Fondo de les Neus, el/Hondon de las Nieves ";2583;7,85670679309584
3070;"Formentera del Segura ";4206;8,34426735626264
3072;"Gaianes ";457;6,12468339089421
3071;"Gata de Gorgos ";5885;8,68016201969438
3073;"Gorga ";275;5,61677109766657
3074;"Granja de Rocamora ";2425;7,79358680337158
3076;"Guardamar del Segura ";15589;9,65432081631268
3078;"Hondon de los Frailes ";1160;7,05617528410041
3079;"Ibi ";23321;10,0571095211917
3080;"Jacarilla ";1930;7,56527528189893
3082;"Javea/Xabia ";27681;10,2285015362467
3083;"Jijona/Xixona ";7205;8,88253050843362
3085;"Lliber ";1099;7,00215595440362
3084;"Lorcha/Orxa, l' ";650;6,47697236288968
3086;"Millena ";224;5,41164605185504
3088;"Monforte del Cid ";7603;8,93629818522844
3089;"Monovar/Monover ";12381;9,42391831842069
3903;"Montesinos, Los ";4921;8,50126704086598
3091;"Murla ";516;6,24610676548156
3092;"Muro de Alcoy ";9167;9,12336535796178
3090;"Mutxamel ";24256;10,0964192884421
3093;"Novelda ";26146;10,1714514941218
3094;"Nucia, la ";20039;9,90543565375414
3095;"Ondara ";6617;8,79739737401206
3096;"Onil ";7548;8,92903790648844
3097;"Orba ";2210;7,7007477945118
3099;"Orihuela ";82675;11,32267253785
3098;"Orxeta ";850;6,74523634948436
3100;"Parcent ";997;6,90475076996184
3101;"Pedreguer ";7337;8,90068531871399
3102;"Pego ";10331;9,24290436284945
3103;"Penaguila ";353;5,8664680569333
3104;"Petrer ";34586;10,4512042548859
3902;"Pilar de la Horadada ";21629;9,9817902857933
3105;"Pinos, el/Pinoso ";7695;8,94832604627298
3106;"Planes ";753;6,62406522779989
3901;"Poblets, els ";3303;8,10258642539079
3107;"Polop ";4369;8,38228942895144
3060;"Quatretondeta ";111;4,70953020131233
3109;"Rafal ";4167;8,33495163142245
3110;"Rafol d'Almunia, el ";635;6,45362499889269
3111;"Redovan ";7706;8,9497545251861
3112;"Relleu ";1279;7,15383380157884
3113;"Rojales ";18127;9,80515781846292
3114;"Romana, la ";2431;7,79605797431612
3115;"Sagra ";410;6,01615715969835
3116;"Salinas ";1597;7,37588214821501
3118;"San Fulgencio ";9021;9,10731047165664
3904;"San Isidro ";1874;7,53583046279837
3120;"San Miguel de Salinas ";6773;8,8206993992149
3122;"San Vicente del Raspeig/Sant Vicent del Raspeig ";56302;10,9384853374755
3117;"Sanet y Negrals ";674;6,51323011091231
3119;"Sant Joan d'Alacant ";22825;10,0356117054632
3121;"Santa Pola ";31657;10,3627145721544
3123;"Sax ";9696;9,17946870830909
3124;"Sella ";588;6,37672694789863
3125;"Senija ";610;6,41345895716736
3127;"Tarbena ";661;6,49375383985169
3128;"Teulada ";11460;9,34661799026873
3129;"Tibi ";1656;7,4121603349452
3130;"Tollos ";52;3,95124371858143
3131;"Tormos ";312;5,74300318780948
3132;"Torremanzanas/Torre de les Macanes, la ";746;6,61472560020376
3133;"Torrevieja ";88447;11,3901587815452
3134;"Vall d'Alcala, la ";169;5,12989871492307
3136;"Vall de Gallinera ";609;6,4118182677099
3137;"Vall de Laguar, la ";826;6,71659477352098
3135;"Vall d'Ebo, la ";249;5,51745289646471
3138;"Verger, el ";4627;8,439663988907
3139;"Villajoyosa/Vila Joiosa, la ";33878;10,4305211151463
3140;"Villena ";34361;10,4446774792835
3081;"Xalo ";2675;7,89170465933011
4001;"Abla ";1342;7,20191631753163
4002;"Abrucena ";1279;7,15383380157884
4003;"Adra ";24670;10,1133432095234
4004;"Albanchez ";805;6,69084227741856
4005;"Alboloduy ";653;6,48157712927643
4006;"Albox ";11429;9,3439092638976
4007;"Alcolea ";812;6,69950034016168
4008;"Alcontar ";570;6,3456363608286
4009;"Alcudia de Monteagud ";168;5,12396397940326
4010;"Alhabia ";700;6,5510803350434
4011;"Alhama de Almeria ";3763;8,23297179059344
4012;"Alicun ";220;5,39362754635236
4013;"Almeria ";194203;12,1766592827118
4014;"Almocita ";173;5,15329159449778
4015;"Alsodux ";138;4,92725368515721
4016;"Antas ";3195;8,06934236681164
4017;"Arboleas ";4670;8,44891435066294
4018;"Armuna de Almanzora ";332;5,80513496891649
4019;"Bacares ";278;5,62762111369064
4020;"Bayarcal ";336;5,8171111599632
4021;"Bayarque ";216;5,37527840768417
4022;"Bedar ";990;6,89770494312864
4023;"Beires ";119;4,77912349311153
4024;"Benahadux ";4183;8,3387839714422
4026;"Benitagla ";78;4,35670882668959
4027;"Benizalon ";283;5,64544689764324
4028;"Bentarique ";258;5,55295958492162
4029;"Berja ";15174;9,62733871589802
4030;"Canjayar ";1342;7,20191631753163
4031;"Cantoria ";3580;8,18311807939475
4032;"Carboneras ";7838;8,96673897875958
4033;"Castro de Filabres ";147;4,99043258677874
4036;"Chercos ";275;5,61677109766657
4037;"Chirivel ";1604;7,38025578842646
4034;"Cobdar ";183;5,20948615284142
4035;"Cuevas del Almanzora ";13292;9,49491762947448
4038;"Dalias ";3979;8,28878581042693
4902;"Ejido, El ";85961;11,3616489840066
4041;"Enix ";437;6,07993319509559
4043;"Felix ";688;6,53378883793334
4044;"Fines ";2143;7,66996199547358
4045;"Finana ";2134;7,6657534318617
4046;"Fondon ";1020;6,92755790627832
4047;"Gador ";3027;8,01532730902172
4048;"Gallardos, Los ";2973;7,9973268229981
4049;"Garrucha ";8577;9,05683948099042
4050;"Gergal ";1093;6,99668148817654
4051;"Huecija ";515;6,24416690066374
4052;"Huercal de Almeria ";16823;9,73050227671916
4053;"Huercal-Overa ";18530;9,82714631927941
4054;"Illar ";380;5,94017125272043
4055;"Instincion ";458;6,12686918411419
4056;"Laroya ";178;5,18178355029209
4057;"Laujar de Andarax ";1574;7,36137542897735
4058;"Lijar ";431;6,06610809010375
4059;"Lubrin ";1568;7,35755620091035
4060;"Lucainena de las Torres ";606;6,40687998606931
4061;"Lucar ";772;6,64898455002478
4062;"Macael ";5676;8,64400203827993
4063;"Maria ";1285;7,15851399732932
4064;"Mojacar ";6825;8,82834762005316
4903;"Mojonera, La ";8963;9,10086027135736
4065;"Nacimiento ";501;6,21660610108486
4066;"Nijar ";28056;10,24195779182
4067;"Ohanes ";669;6,50578406012823
4068;"Olula de Castro ";190;5,24702407216049
4069;"Olula del Rio ";6259;8,7417757069247
4070;"Oria ";2428;7,79482315217939
4071;"Padules ";464;6,13988455222626
4072;"Partaloa ";673;6,51174532964473
4073;"Paterna del Rio ";376;5,92958914338989
4074;"Pechina ";3860;8,25842246245888
4075;"Pulpi ";8762;9,07817946837384
4076;"Purchena ";1686;7,4301141385618
4077;"Ragol ";338;5,82304589548302
4078;"Rioja ";1374;7,22548147278229
4079;"Roquetas de Mar ";90623;11,4144633229479
4080;"Santa Cruz de Marchena ";254;5,53733426701854
4081;"Santa Fe de Mondujar ";448;6,10479323241498
4082;"Senes ";330;5,79909265446053
4083;"Seron ";2167;7,68109900153636
4084;"Sierro ";392;5,97126183979046
4085;"Somontin ";492;6,19847871649231
4086;"Sorbas ";2608;7,86633892304654
4087;"Sufli ";252;5,52942908751142
4088;"Tabernas ";3668;8,20740183337636
4089;"Taberno ";1000;6,90775527898214
4090;"Tahal ";396;5,98141421125448
4091;"Terque ";417;6,0330862217988
4092;"Tijola ";3701;8,21635833238616
4901;"Tres Villas, Las ";615;6,42162226780652
4093;"Turre ";3346;8,11552088154677
4094;"Turrillas ";242;5,48893772615669
4095;"Uleila del Campo ";897;6,7990558620588
4096;"Urracal ";336;5,8171111599632
4097;"Velefique ";268;5,59098698051086
4098;"Velez-Blanco ";2035;7,6182510978767
4099;"Velez-Rubio ";6767;8,81981313623223
4100;"Vera ";15108;9,62297968383235
4101;"Viator ";5698;8,64787051505785
4102;"Vicar ";24571;10,1093221647277
4103;"Zurgena ";3030;8,01631789850341
5001;"Adanero ";231;5,44241771052179
5002;"Adrada, La ";2640;7,87853419614036
5005;"Albornos ";205;5,32300997913841
