"CodMun";"Municipio";"Pobloglog"
1001;"Alegria-Dulantzi ";2
1002;"Amurrio ";2
1049;"Anana ";1
1003;"Aramaio ";1
1006;"Arminon ";1
1037;"Arraia-Maeztu ";1
1008;"Arratzua-Ubarrundia ";1
1004;"Artziniega ";2
1009;"Asparrena ";2
1010;"Ayala/Aiara ";2
1011;"Banos de Ebro/Manueta ";1
1013;"Barrundia ";1
1014;"Berantevilla ";1
1016;"Bernedo ";1
1017;"Campezo/Kanpezu ";1
1021;"Elburgo/Burgelu ";1
1022;"Elciego ";1
1023;"Elvillar/Bilar ";1
1046;"Erriberagoitia/Ribera Alta ";1
1056;"Harana/Valle de Arana ";1
1901;"Iruna Oka/Iruna de Oca ";2
1027;"Iruraiz-Gauna ";1
1019;"Kripan ";1
1020;"Kuartango ";1
1028;"Labastida/Bastida ";1
1030;"Lagran ";1
1031;"Laguardia ";1
1032;"Lanciego/Lantziego ";1
1902;"Lantaron ";1
1033;"Lapuebla de Labarca ";1
1036;"Laudio/Llodio ";2
1058;"Legutio ";2
1034;"Leza ";1
1039;"Moreda de alava/Moreda Araba ";1
1041;"Navaridas ";1
1042;"Okondo ";1
1043;"Oyon-Oion ";2
1044;"Penacerrada-Urizaharra ";1
1047;"Ribera Baja/Erribera Beitia ";1
1051;"Salvatierra/Agurain ";2
1052;"Samaniego ";1
1053;"San Millan/Donemiliaga ";1
1054;"Urkabustaiz ";1
1055;"Valdegovia/Gaubea ";1
1057;"Villabuena de alava/Eskuernaga ";1
1059;"Vitoria-Gasteiz ";2
1060;"Yecora/Iekora ";1
1061;"Zalduondo ";1
1062;"Zambrana ";1
1018;"Zigoitia ";2
1063;"Zuia ";2
2001;"Abengibre ";1
2002;"Alatoz ";1
2003;"Albacete ";2
2004;"Albatana ";1
2005;"Alborea ";1
2006;"Alcadozo ";1
2007;"Alcala del Jucar ";1
2008;"Alcaraz ";1
2009;"Almansa ";2
2010;"Alpera ";2
2011;"Ayna ";1
2012;"Balazote ";2
2014;"Ballestero, El ";1
2013;"Balsa de Ves ";1
2015;"Barrax ";2
2016;"Bienservida ";1
2017;"Bogarra ";1
2018;"Bonete ";1
2019;"Bonillo, El ";2
2020;"Carcelen ";1
2021;"Casas de Juan Nunez ";1
2022;"Casas de Lazaro ";1
2023;"Casas de Ves ";1
2024;"Casas-Ibanez ";2
2025;"Caudete ";2
2026;"Cenizate ";1
2029;"Chinchilla de Monte-Aragon ";2
2027;"Corral-Rubio ";1
2028;"Cotillas ";1
2030;"Elche de la Sierra ";2
2031;"Ferez ";1
2032;"Fuensanta ";1
2033;"Fuente-alamo ";2
2034;"Fuentealbilla ";2
2035;"Gineta, La ";2
2036;"Golosalvo ";1
2037;"Hellin ";2
2038;"Herrera, La ";1
2039;"Higueruela ";1
2040;"Hoya-Gonzalo ";1
2041;"Jorquera ";1
2042;"Letur ";1
2043;"Lezuza ";1
2044;"Lietor ";1
2045;"Madrigueras ";2
2046;"Mahora ";1
2047;"Masegoso ";1
2048;"Minaya ";1
2049;"Molinicos ";1
2050;"Montalvos ";1
2051;"Montealegre del Castillo ";2
2052;"Motilleja ";1
2053;"Munera ";2
2054;"Navas de Jorquera ";1
2055;"Nerpio ";1
2056;"Ontur ";2
2057;"Ossa de Montiel ";2
2058;"Paterna del Madera ";1
2060;"Penas de San Pedro ";1
2059;"Penascosa ";1
2061;"Petrola ";1
2062;"Povedilla ";1
2901;"Pozo Canada ";2
2063;"Pozohondo ";2
2064;"Pozo-Lorente ";1
2065;"Pozuelo ";1
2066;"Recueja, La ";1
2067;"Riopar ";1
2068;"Robledo ";1
2069;"Roda, La ";2
2070;"Salobre ";1
2071;"San Pedro ";1
2072;"Socovos ";2
2073;"Tarazona de la Mancha ";2
2074;"Tobarra ";2
2075;"Valdeganga ";2
2076;"Vianos ";1
2077;"Villa de Ves ";1
2078;"Villalgordo del Jucar ";1
2079;"Villamalea ";2
2080;"Villapalacios ";1
2081;"Villarrobledo ";2
2082;"Villatoya ";1
2083;"Villavaliente ";1
2084;"Villaverde de Guadalimar ";1
2085;"Viveros ";1
2086;"Yeste ";2
3001;"Adsubia ";1
3002;"Agost ";2
3003;"Agres ";1
3004;"Aigues ";1
3005;"Albatera ";2
3006;"Alcalali ";1
3007;"Alcocer de Planes ";1
3008;"Alcoleja ";1
3009;"Alcoy/Alcoi ";2
3010;"Alfafara ";1
3011;"Alfas del Pi, l' ";2
3012;"Algorfa ";2
3013;"Alguena ";1
3014;"Alicante/Alacant ";2
3015;"Almoradi ";2
3016;"Almudaina ";1
3017;"Alqueria d'Asnar, l' ";1
3018;"Altea ";2
3019;"Aspe ";2
3020;"Balones ";1
3021;"Banyeres de Mariola ";2
3022;"Benasau ";1
3023;"Beneixama ";2
3024;"Benejuzar ";2
3025;"Benferri ";2
3026;"Beniarbeig ";2
3027;"Beniarda ";1
3028;"Beniarres ";1
3030;"Benidoleig ";1
3031;"Benidorm ";2
3032;"Benifallim ";1
3033;"Benifato ";1
3029;"Benigembla ";1
3034;"Benijofar ";2
